id,math12,catholic,read8,math8,female,race,parmar8,faminc8,fathed8,mothed8,fight8,nohw8,disrupt8,riskdrop8
124902,49.77000046,1,55.95999908,50.27000046,0,4,6,10,2,2,0,0,0,1
124915,59.84000015,1,63.09999847,51.52000046,0,4,6,10,8,8,0,0,0,0
124916,50.38000107,1,60.99000168,47.56000137,1,4,6,10,1,7,0,0,0,0
124932,45.02999878,1,45.34000015,46.59999847,1,4,6,10,8,8,0,0,0,1
124944,54.25999832,1,55.93000031,60.22000122,1,4,6,11,2,2,0,0,0,1
124966,55.36999893,1,66.84999847,58.63000107,1,4,6,7,1,2,0,0,0,1
124968,65.06999969,1,58.58000183,59.84999847,0,4,6,10,2,2,0,0,0,0
124970,47.97000122,1,54.65000153,47.91999817,0,4,6,10,6,3,1,0,1,1
124972,53.97999954,1,49.45999908,49.65000153,0,4,6,10,3,3,1,0,1,0
124974,62.72000122,1,64.88999939,64.36000061,0,4,1,8,2,4,2,1,1,1
124985,52.04999924,1,46.72000122,45.47000122,1,4,6,11,3,2,1,0,1,2
124990,63.86000061,1,54.97999954,57.34000015,1,4,6,10,2,3,0,0,0,0
124998,45.54000092,1,34.65999985,38.63999939,1,4,3,8,2,2,0,0,0,1
175585,62.5,1,59.77999878,60.95999908,1,4,1,10,3,6,0,1,0,1
180607,58.77000046,1,60.15999985,60.61000061,0,4,6,8,4,4,0,0,0,0
180610,63.43000031,1,63.66999817,63.90000153,0,4,6,11,5,2,0,0,0,1
180625,51.50999832,1,43.40000153,41.31000137,0,4,6,11,2,2,0,0,0,0
180672,50.02000046,1,62.65000153,52.31000137,1,4,6,11,5,2,0,0,0,0
180681,64.13999939,1,63.90000153,72.94000244,0,4,6,11,6,5,0,0,0,0
180690,63.5,1,70.55000305,59.77999878,0,4,6,10,7,6,0,0,0,0
184603,48.75999832,1,51.18999863,50.84999847,0,4,6,12,2,2,0,1,0,0
184619,44.31999969,1,52.18000031,50.06000137,0,4,1,4,2,1,0,1,0,2
184626,40.68000031,1,44.27999878,50.95999908,0,4,6,10,2,2,0,0,0,0
184670,45.65000153,1,38.27000046,39.34999847,1,4,6,10,8,8,0,0,0,0
184690,50.88000107,1,60.70000076,57.15000153,0,4,6,11,2,2,0,0,0,0
700035,35.25,0,40.70000076,38.38000107,1,2,6,9,1,1,0,0,0,1
701120,63.22999954,0,70.55000305,64.91999817,1,4,6,11,6,2,0,0,0,0
701131,43.11999893,0,50.22999954,44.18000031,1,4,1,5,5,2,0,0,0,2
701148,61.29000092,0,38.18999863,52.59000015,0,4,6,11,8,8,1,0,1,0
701163,37.06000137,0,46.93999863,56.45000076,1,4,6,12,1,8,0,0,0,0
701178,64.11000061,0,65.84999847,66.30000305,1,4,6,11,5,3,0,0,0,0
701612,66.26000214,0,56.61999893,53.22000122,0,4,3,11,1,3,1,0,1,0
701643,65.93000031,0,55.81000137,70.80999756,0,1,6,12,4,2,0,0,0,0
701670,63.54000092,0,70.55000305,71.94000244,0,3,6,10,7,8,0,0,0,0
701672,49.20999908,0,49.70999908,45.06999969,1,3,6,11,8,8,0,0,0,0
701693,47.93999863,0,62.40999985,60.31999969,0,4,6,12,3,3,2,0,1,0
702804,56.63000107,0,50.63000107,66.19000244,0,4,6,12,4,5,0,0,0,0
702812,35.06000137,0,49.99000168,41.58000183,0,4,6,11,2,2,0,1,0,1
702819,66.45999908,0,58.24000168,67.26000214,0,4,6,11,6,5,0,0,0,0
702829,49.90999985,0,55.06000137,49.02999878,1,4,6,11,3,2,0,0,0,0
702849,53.88999939,0,48.97999954,55.43999863,1,4,6,11,6,2,0,0,0,0
702866,61.93999863,0,56.84000015,59.36999893,0,4,6,10,2,2,0,0,0,0
702871,46.15000153,0,40.95000076,43.25999832,1,5,6,10,2,1,0,0,0,0
702876,69.72000122,0,70.55000305,72.23000336,1,1,6,12,7,7,0,0,0,0
702908,50.38999939,0,59.13999939,54.25999832,0,4,6,10,1,2,0,0,0,1
702911,41.79999924,0,42.36000061,42.47999954,0,4,6,6,1,1,0,0,0,2
702920,40.75,0,40.65999985,40.29999924,1,4,6,8,2,1,0,0,0,1
702927,34.43999863,0,46.38999939,36.81000137,0,4,6,9,2,2,0,0,0,0
702935,36.20999908,0,47.38999939,48.79000092,1,4,6,8,3,2,0,0,0,0
702948,55.50999832,0,63.34000015,62.09999847,1,4,6,8,4,3,1,0,1,0
702949,48.27999878,0,51.5,45.75,0,4,6,11,3,2,1,0,1,0
702962,43.38000107,0,50.02000046,42.04000092,0,4,1,4,1,1,0,0,0,3
702986,46.45999908,0,52.18999863,60.97000122,0,4,6,10,8,8,0,0,0,0
702993,44.54000092,0,40.27999878,42.59000015,1,4,1,5,1,1,0,0,0,2
702996,43.09000015,0,50.02000046,50.15999985,0,4,6,7,8,8,0,0,0,1
704210,52.04000092,0,40.68000031,42.72000122,1,2,6,8,1,2,0,1,0,0
704225,42.43000031,0,43.61999893,40.04999924,0,4,6,2,1,1,1,1,1,3
704227,54.33000183,0,61.41999817,51.04999924,1,4,6,12,4,5,0,0,0,0
704230,60.18000031,0,58.40000153,56.68000031,1,5,6,10,2,2,0,0,0,1
704260,32,0,41.56000137,37.47000122,0,4,6,10,1,2,2,1,1,1
704271,57.75,0,56.97000122,57.43000031,1,4,6,9,2,5,0,0,0,0
704289,42.34000015,0,48.20999908,52.34999847,0,5,6,11,2,5,1,0,1,0
704296,62.29999924,0,65.47000122,50.84999847,1,4,6,12,3,3,0,0,0,0
704815,67.55999756,0,65.70999908,67.30000305,0,1,6,12,6,8,0,0,0,0
704816,62.08000183,0,41.90000153,50.58000183,0,4,6,12,5,2,0,0,0,0
704868,60.15000153,0,57.29000092,61.25,1,4,6,12,4,5,0,0,0,0
708902,54.34000015,0,41.86999893,41.13999939,0,4,6,12,2,2,0,0,0,1
708906,61.27000046,0,66.5,54.70000076,1,1,6,10,6,5,0,0,0,0
708920,57.11999893,0,66.38999939,65.11000061,1,4,1,10,2,4,0,0,0,2
708925,52.56999969,0,42.40999985,46.88999939,0,4,1,7,3,3,1,0,1,2
708928,50.02999878,0,40.70000076,41.22999954,0,4,6,10,2,2,2,0,1,0
708946,43.97000122,0,42.70999908,40.86999893,1,4,6,11,5,5,0,0,0,0
708951,34.56999969,0,47.95000076,38.75999832,1,4,6,11,5,5,0,0,0,0
708953,55.47000122,0,42.47000122,46.95000076,0,4,6,10,3,2,0,0,0,0
708990,50.27000046,0,51.38999939,54.75,1,4,1,8,7,2,0,0,0,1
708997,63.79000092,0,60.70999908,63.20000076,1,1,6,10,5,1,0,0,0,0
709053,36.50999832,0,37.90000153,42.61000061,1,3,1,2,8,1,0,0,0,2
709414,57.61000061,0,66.5,63.24000168,1,4,6,10,5,5,0,1,0,0
709421,57.83000183,0,65.69000244,71.76000214,0,4,6,7,3,2,0,0,0,1
709427,46.79999924,0,63.34000015,45.95000076,1,4,6,10,2,2,0,0,0,0
709430,63.09000015,0,65.69000244,65.30999756,0,4,6,10,6,3,0,1,0,0
709436,50.74000168,0,38.65000153,52.15999985,0,4,1,4,2,2,0,1,0,2
709478,61.90000153,0,70.55000305,60.27000046,1,4,6,12,6,6,0,0,0,0
709486,64,0,61.41999817,62.29000092,1,4,1,7,4,3,0,0,0,2
709499,52.86999893,0,61.41999817,44.11000061,1,4,6,12,6,2,0,0,0,0
709603,62.45999908,0,59.65000153,64.88999939,1,1,3,7,4,1,0,0,0,1
709619,65.15000153,0,47.68999863,48.95000076,0,4,6,11,5,4,1,0,1,0
709623,35.86000061,0,34.97999954,40.77000046,1,4,6,7,1,1,1,0,1,2
709625,51.20999908,0,45.77999878,58.93999863,0,4,6,9,1,2,0,0,0,0
709658,62.83000183,0,45.97000122,54.77999878,0,4,6,9,6,3,2,0,1,1
709663,52.61999893,0,45.50999832,57.88999939,1,4,6,7,8,8,0,0,0,1
709685,37.47999954,0,36.15000153,39.08000183,0,4,1,5,2,2,2,0,1,3
709687,54.5,0,35.43999863,55.77999878,0,4,6,5,1,2,2,0,1,2
709691,53.86000061,0,46.63999939,48.43000031,0,4,6,8,2,2,0,0,0,0
710405,50.56000137,0,50.86000061,54.22999954,1,4,6,12,6,6,0,0,0,0
710406,40.45000076,0,50.86000061,42.49000168,1,5,6,10,1,2,0,0,0,0
