"data_id","treat","age","educ","black","hisp","marr","nodegree","re74","re75","re78","agesq","agecube","educsq","u74","u75","interaction1","re74sq","re75sq","interaction2"
"CPS1",0,45,11,0,0,1,1,21516.669921875,25243.55078125,25564.669921875,2025,91125,121,0,0,236683.369140625,462967084.52692,637236856.045547,0
"CPS1",0,21,14,0,0,0,0,3175.97094726562,5852.56494140625,13496.080078125,441,9261,196,0,0,44463.5932617188,10086791.4578753,34252516.3933775,0
"CPS1",0,38,12,0,0,1,0,23039.01953125,25130.759765625,25564.669921875,1444,54872,144,0,0,276468.234375,530796420.961319,631555086.397556,0
"CPS1",0,48,6,0,0,1,1,24994.369140625,25243.55078125,25564.669921875,2304,110592,36,0,0,149966.21484375,624718488.737827,637236856.045547,0
"CPS1",0,18,8,0,0,1,1,1669.29504394531,10727.6103515625,9860.869140625,324,5832,64,0,0,13354.3603515625,2786545.94374038,115081623.854951,0
"CPS1",0,22,11,0,0,1,1,16365.759765625,18449.26953125,25564.669921875,484,10648,121,0,0,180023.357421875,267838092.70615,340375546.23671,0
"CPS1",0,48,10,0,0,1,1,16804.630859375,16354.599609375,18059.30078125,2304,110592,100,0,0,168046.30859375,282395618.319859,267472928.382969,0
"CPS1",0,18,11,0,0,0,1,1144.21203613281,3620.03198242188,15739.26953125,324,5832,121,0,0,12586.3323974609,1309221.1836312,13104631.5537573,0
"CPS1",0,48,9,0,0,1,1,25862.3203125,25243.55078125,25564.669921875,2304,110592,81,0,0,232760.8828125,668859611.94635,637236856.045547,0
"CPS1",0,45,12,0,0,1,0,25862.3203125,0,3924.84204101562,2025,91125,144,0,1,310347.84375,668859611.94635,0,0
"CPS1",0,34,14,0,0,1,0,25862.3203125,23746.83984375,25564.669921875,1156,39304,196,0,0,362072.484375,668859611.94635,563912402.564713,0
"CPS1",0,16,10,0,0,0,1,1026.65600585938,1224.5810546875,6847.78515625,256,4096,100,0,0,10266.5600585938,1054022.55436713,1499598.75949955,0
"CPS1",0,53,10,0,0,1,1,25862.3203125,25243.55078125,25564.669921875,2809,148877,100,0,0,258623.203125,668859611.94635,637236856.045547,0
"CPS1",0,19,12,0,0,0,0,867.955200195312,4386.2900390625,8777.6962890625,361,6859,144,0,0,10415.4624023438,753346.229546085,19239540.3067789,0
"CPS1",0,27,12,0,0,1,0,25862.3203125,19047.240234375,19214.880859375,729,19683,144,0,0,310347.84375,668859611.94635,362797360.545994,0
