birthyear,race,lottery,earnings,earnings.n,year,age,drafted,served
50,1,1,1172.782093,192,66,16,1,0
50,1,2,814.2632146,237,66,16,1,0
50,1,3,856.7993527,229,66,16,1,1
50,1,4,1069.480043,246,66,16,1,1
50,1,5,1142.399137,214,66,16,1,1
50,1,6,984.4077669,208,66,16,1,0
50,1,7,1385.462783,178,66,16,1,1
50,1,8,966.1779935,220,66,16,1,0
50,1,9,607.6591154,227,66,16,1,1
50,1,10,777.8036677,243,66,16,1,1
50,1,11,996.5609493,234,66,16,1,0
50,1,12,1227.471413,211,66,16,1,1
50,1,13,1288.237325,242,66,16,1,1
50,1,14,1033.020496,212,66,16,1,0
50,1,15,1215.318231,211,66,16,1,1
50,1,16,838.5695793,210,66,16,1,0
50,1,17,972.2545846,210,66,16,1,1
50,1,18,1221.394822,220,66,16,1,0
50,1,19,1039.097087,224,66,16,1,0
50,1,20,461.8209277,226,66,16,1,0
50,1,21,1203.165048,229,66,16,1,0
50,1,22,1033.020496,246,66,16,1,1
50,1,23,1209.24164,264,66,16,1,0
50,1,24,796.0334412,233,66,16,1,0
50,1,25,1033.020496,222,66,16,1,0
50,1,26,802.1100323,216,66,16,1,1
50,1,27,735.2675296,230,66,16,1,0
50,1,28,1330.773463,192,66,16,1,1
50,1,29,978.3311758,234,66,16,1,1
50,1,30,765.6504854,200,66,16,1,1
50,1,31,1069.480043,241,66,16,1,0
50,1,32,802.1100323,232,66,16,1,0
50,1,33,868.952535,218,66,16,1,1
50,1,34,1215.318231,222,66,16,1,1
50,1,35,686.6548004,225,66,16,1,0
50,1,36,1166.705502,239,66,16,1,1
50,1,37,917.5652643,211,66,16,1,0
50,1,38,1494.841424,234,66,16,1,1
50,1,39,1057.326861,241,66,16,1,0
50,1,40,1203.165048,217,66,16,0,0
50,1,41,984.4077669,218,66,16,0,0
50,1,42,1203.165048,211,66,16,0,0
50,1,43,1488.764833,242,66,16,0,0
50,1,44,1300.390507,210,66,16,0,0
50,1,45,1336.850054,242,66,16,0,0
50,1,46,601.5825242,210,66,16,0,0
50,1,47,862.8759439,222,66,16,0,0
50,1,48,1452.305286,216,66,16,0,0
50,1,49,656.2718446,215,66,16,0,0
50,1,50,1008.714132,246,66,16,0,0
50,1,51,887.1823085,207,66,16,0,0
50,1,52,1519.147789,214,66,16,0,0
50,1,53,820.3398058,221,66,16,0,0
50,1,54,1227.471413,219,66,16,0,0
50,1,55,1871.590075,185,66,16,0,1
50,1,56,1075.556634,199,66,16,0,0
50,1,57,759.5738943,206,66,16,0,0
50,1,58,911.4886731,240,66,16,0,1
50,1,59,1434.075512,224,66,16,0,1
50,1,60,1355.079827,206,66,16,0,0
50,1,61,1197.088457,239,66,16,0,0
50,1,62,966.1779935,213,66,16,0,0
50,1,63,844.6461704,223,66,16,0,1
50,1,64,1440.152103,223,66,16,0,0
50,1,65,1257.854369,209,66,16,0,0
50,1,66,960.1014023,230,66,16,0,0
50,1,67,1184.935275,224,66,16,0,0
50,1,68,1610.296656,207,66,16,0,0
50,1,69,1203.165048,202,66,16,0,1
50,1,70,1519.147789,233,66,16,0,1
50,1,71,1391.539374,224,66,16,0,0
50,1,72,996.5609493,244,66,16,0,0
50,1,73,1713.598705,243,66,16,0,0
50,2,1,838.5695793,71,66,16,1,1
50,2,2,565.1229773,66,66,16,1,0
50,2,3,808.1866235,69,66,16,1,0
50,2,4,954.0248112,75,66,16,1,0
50,2,5,486.1272923,98,66,16,1,0
50,2,6,1251.777778,69,66,16,1,0
50,2,7,868.952535,89,66,16,1,0
50,2,8,674.5016181,79,66,16,1,1
50,2,9,638.0420712,59,66,16,1,1
50,2,10,747.4207119,80,66,16,1,0
50,2,11,735.2675296,80,66,16,1,0
50,2,12,1154.552319,68,66,16,1,0
50,2,13,583.3527508,69,66,16,1,1
50,2,14,820.3398058,80,66,16,1,0
50,2,15,674.5016181,82,66,16,1,0
50,2,16,638.0420712,71,66,16,1,0
50,2,17,583.3527508,67,66,16,1,0
50,2,18,820.3398058,64,66,16,1,0
50,2,19,680.5782092,69,66,16,1,1
50,2,20,631.96548,57,66,16,1,0
50,2,21,656.2718446,86,66,16,1,0
50,2,22,783.8802589,60,66,16,1,0
50,2,23,662.3484358,81,66,16,1,0
50,2,24,443.5911542,76,66,16,1,0
50,2,25,668.4250269,74,66,16,1,0
50,2,26,540.8166127,77,66,16,1,0
50,2,27,455.7443366,70,66,16,1,0
50,2,28,1136.322546,85,66,16,1,1
50,2,29,820.3398058,61,66,16,1,0
50,2,30,1191.011866,55,66,16,1,0
50,2,31,747.4207119,68,66,16,1,0
50,2,32,589.4293419,87,66,16,1,0
50,2,33,668.4250269,73,66,16,1,0
50,2,34,802.1100323,75,66,16,1,0
50,2,35,297.7529665,80,66,16,1,0
50,2,36,644.1186623,75,66,16,1,0
50,2,37,504.3570658,86,66,16,1,0
50,2,38,1306.467098,77,66,16,1,0
50,2,39,984.4077669,79,66,16,1,0
50,2,40,893.2588996,92,66,16,0,0
50,2,41,571.1995685,77,66,16,0,1
50,2,42,783.8802589,75,66,16,0,0
50,2,43,1276.084142,74,66,16,0,0
50,2,44,1300.390507,87,66,16,0,0
50,2,45,929.7184466,81,66,16,0,0
50,2,46,1105.93959,61,66,16,0,0
50,2,47,194.4509169,63,66,16,0,0
50,2,48,692.7313916,64,66,16,0,0
50,2,49,407.1316073,71,66,16,0,1
50,2,50,777.8036677,85,66,16,0,1
50,2,51,875.0291262,77,66,16,0,0
50,2,52,875.0291262,71,66,16,0,0
50,2,53,534.7400216,81,66,16,0,0
50,2,54,346.3656958,75,66,16,0,0
50,2,55,862.8759439,70,66,16,0,0
50,2,56,753.4973031,83,66,16,0,1
50,2,57,692.7313916,64,66,16,0,0
50,2,58,668.4250269,91,66,16,0,0
50,2,59,723.1143473,76,66,16,0,1
50,2,60,552.969795,58,66,16,0,0
50,2,61,929.7184466,94,66,16,0,0
50,2,62,601.5825242,63,66,16,0,0
50,2,63,668.4250269,66,66,16,0,1
50,2,64,759.5738943,81,66,16,0,0
50,2,65,747.4207119,100,66,16,0,0
50,2,66,832.4929881,64,66,16,0,0
